utterance,category,intent
"I got an error when I attempted to make an payment, but I was charged anyway, can you inform of it?",PAYMENT,payment_issue
"I don't have a user account, what can I do to create one?",ACCOUNT,create_account
how can i change to another user account?,ACCOUNT,switch_account
i need help leaving an opinion,FEEDBACK,review
"i wanna inform of a payment problem, can u help me?",PAYMENT,payment_issue
"please, Id like to ask for information about requesting an invoice",INVOICES,get_invoice
"I got no payment confirmation, what do I have to do?",PAYMENT,payment_issue
"i dont have an online account, i need help creating one",ACCOUNT,create_account
can u ask alexa where to notify issues making a payment?,PAYMENT,payment_issue
"please, can you tell me how I could check my shipments?",ORDER,track_order
"I bought something, can I modify my order?",ORDER,change_order
"i want a user account, how can i create one?",ACCOUNT,create_account
"I got an error message when I tried to pay, but my card was charged anyway, what can I do to report it?",PAYMENT,payment_issue
what's the email address to contact Client Service?,CONTACT,contact_customer_service
"i have a problem when trying to pay for my online order, can i inform of it?",PAYMENT,payment_issue
"I have a problem paying with card, help me report it",PAYMENT,payment_issue
I need help sending an email to Customer Support,CONTACT,contact_customer_service
i want to know if i can register more than one profile with the same email address,ACCOUNT,create_account
tell me what the free number to contact Client Service is,CONTACT,contact_customer_service
I found problems while registering,ACCOUNT,registration_problems
ask alexa if i can chexk my shipments,ORDER,track_order
"I lost my password, how can I reset it?",ACCOUNT,recover_password
can you tell me the mail of Customer Support?,CONTACT,contact_customer_service
"i got an error when i tried to make a payment, but my card was charged anyway, can u help me?",PAYMENT,payment_issue
can u ask alexa how to update my profile ?,ACCOUNT,edit_account
"I have no user account, what can I do?",ACCOUNT,create_account
how can I write an opinion for a service?,FEEDBACK,review
"the show was postponed, how do I request a refund?",REFUNDS,get_refund
ask alexa to inform of fucking problems paying,PAYMENT,payment_issue
"I want to create a profile, what can I do?",ACCOUNT,create_account
i wanna get information about modifying my order,ORDER,change_order
I have an issue paying with card and I want to report it,PAYMENT,payment_issue
tell me where to see an invoice,INVOICES,get_invoice
how can I notify an issue with my payment?,PAYMENT,payment_issue
I want to know how to see a bilo,INVOICES,get_invoice
"I want to check my invoices, what do I have to do?",INVOICES,check_invoices
i want to solve an issue paying,PAYMENT,payment_issue
I want to make changes to my shipping adress,SHIPPING,change_shipping_address
I want to view the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
could u ask alexa if i can see the tsatus of my fucking purchase?,ORDER,track_order
"I have a problem paying, what do I have to do to report it?",PAYMENT,payment_issue
"I don't have a user account, can you create one?",ACCOUNT,create_account
I have a question and I want to speak with Client Service,CONTACT,contact_customer_service
"i want ro reset my account password, what do i have to do?",ACCOUNT,recover_password
i havd a question and i wanna speak with customert support,CONTACT,contact_customer_service
"I forgot my password, retrieve it, please",ACCOUNT,recover_password
i need help talking to a human agent,CONTACT,contact_human_agent
I want to call Client Service,CONTACT,contact_customer_service
"I got an error when I tried to pay, but I was charged anyway, can I report it?",PAYMENT,payment_issue
i am happy with the service and i wanna lodge an opinion,FEEDBACK,review
"my user account was hacked, help me get it back",ACCOUNT,recover_password
can i track my order?,ORDER,track_order
"the game was cancelled, get a refund",REFUNDS,get_refund
ask alexa how i can report a payment problem,PAYMENT,payment_issue
the event was postponed and i wanna obtain a refund,REFUNDS,get_refund
"I need information, how can I send an email to Customer Support?",CONTACT,contact_customer_service
how can I lodge a complaint?,FEEDBACK,complaint
"I've got no online account, what can I do to register?",ACCOUNT,create_account
I want to know how soon I can expect my ticket to arrive,DELIVERY,delivery_period
"I want to notify a problem paying, can you help me?",PAYMENT,payment_issue
I want information about the delivery period for my ticket,DELIVERY,delivery_period
"I don't want my user account, what should I do to delete it?",ACCOUNT,delete_account
"I lost my account password, can you recover it?",ACCOUNT,recover_password
"I got an error when I attempted to make a payment, but I was charged anyway and I want to inform of it",PAYMENT,payment_issue
I want to know when my tickets are going to arrive,DELIVERY,delivery_period
i want to notify a ayment problem,PAYMENT,payment_issue
"I have a problem when trying to make a payment with card, what do I have to do to notify it?",PAYMENT,payment_issue
"I want to recover my account password, how can I do it?",ACCOUNT,recover_password
i want to know what the mail address to contact customer service is,CONTACT,contact_customer_service
"I'm happy with the service, how do I submit an opinion?",FEEDBACK,review
"I got an error when I attempted to pay, but my card was charged anyway, what do I have to do to report it?",PAYMENT,payment_issue
how to get a reimbursement,REFUNDS,get_refund
"I bought a product, can I change my order?",ORDER,change_order
can u ask alexa if i can report a problem paying?,PAYMENT,payment_issue
"i forgot my account password, retrieve it",ACCOUNT,recover_password
"u are not helping, can u talk to a human agent?",CONTACT,contact_human_agent
I need information about the delivery period for my ticket,DELIVERY,delivery_period
"I want to notify a problem making a payment, what should I do?",PAYMENT,payment_issue
i wanna know if theres a newsletter ot keep me up-to-date,NEWSLETTER,newsletter_subscription
what's the number of Customer Service?,CONTACT,contact_customer_service
"the game was postponed, obtain a reimbursement",REFUNDS,get_refund
tell me where to check my orders,ORDER,track_order
where do I track my refund?,REFUNDS,track_refund
where do I view your money back guarantee?,REFUNDS,check_refund_policy
"the event was cancelled and i want to obtain a fucking reimbursement, please",REFUNDS,get_refund
ask alexa how to open an online account,ACCOUNT,create_account
ask alexa if i can obtain an invoice,INVOICES,get_invoice
"my account has been hacked, how do i recover it?",ACCOUNT,recover_password
"I want to make a purchase, what should I do?",ORDER,place_order
"i want to submit a review, what do i have to do?",FEEDBACK,review
"I have an issue paying, what should I do to inform of it?",PAYMENT,payment_issue
"I bought a product, what should I do to change my purchase?",ORDER,change_order
I'm having problems when trying to sign up,ACCOUNT,registration_problems
where do I notify payment problems?,PAYMENT,payment_issue
can u ask alexa if i can check my shipments?,ORDER,track_order
"my user account was hacked, i need help getting it back",ACCOUNT,recover_password
"please, could u ask alexa where to lodge a consumer complaint for a service?",FEEDBACK,complaint
I want information about the status of my order,ORDER,track_order
"i dont understand you, contact someone",CONTACT,contact_human_agent
"i wanna make a review for a service, what can i do?",FEEDBACK,review
"I would like information, I need help calling Customer Service, please",CONTACT,contact_customer_service
"please, could u ask alexa to inform of a fucking payment issue?",PAYMENT,payment_issue
can you tell me if I can change my purchase?,ORDER,change_order
i need help seeing a bill,INVOICES,get_invoice
I want to know if I can create more than one user account with the same email,ACCOUNT,create_account
can you tell me the free phone number to contact Customer Support?,CONTACT,contact_customer_service
"i got an error message when i attempted to make a payment, but my card was charged anyway, what do i have to do to notify it?",PAYMENT,payment_issue
u are not helping and i want to talk to a person,CONTACT,contact_human_agent
"I have a question, how do I send an email to Customer Service?",CONTACT,contact_customer_service
download a bill,INVOICES,get_invoice
"I  ordered something, what should I do to modify my order?",ORDER,change_order
i dont want my online acount and i wanna remove it,ACCOUNT,delete_account
I'm having issues creating a profile,ACCOUNT,registration_problems
I want to write a review,FEEDBACK,review
could you ask Alexa to give me information about their payment methods?,PAYMENT,check_payment_methods
I want to request information about modifying my order,ORDER,change_order
whats the mail to contact Customer Support?,CONTACT,contact_customer_service
I bought an item and I want to change my purchase,ORDER,change_order
I want to obtain a bill,INVOICES,get_invoice
where can I lodge a complaint for a service?,FEEDBACK,complaint
can u ask alexa where to inform of a problem with my payment?,PAYMENT,payment_issue
"I've got no user account, what should I do?",ACCOUNT,create_account
i get an error message when i attempt to make a payment for my online order,PAYMENT,payment_issue
"I want to see the status of my purcase, can you help me?",ORDER,track_order
"you arent helping, speak with a person",CONTACT,contact_human_agent
"the event was postponed, can I obtain a reimbursement?",REFUNDS,get_refund
"I have an issue when trying to make a payment, how do I notify it?",PAYMENT,payment_issue
tell me where I can track my orders,ORDER,track_order
"I've got no online account, I need help opening one",ACCOUNT,create_account
"I wanna see a bill, can you give me some information?",INVOICES,get_invoice
"I ordered an item, how do i change my order?",ORDER,change_order
where can I inform of problems with my payment?,PAYMENT,payment_issue
ask Alexa if I can place a fucking order,ORDER,place_order
"I haven't got a fucking user account, help me create one",ACCOUNT,create_account
ask alexa if i can delete my profile,ACCOUNT,delete_account
could you ask Alexa how to write a review for a service?,FEEDBACK,review
"please, could you ask Alexa ohw I could inform of fucking problems paying?",PAYMENT,payment_issue
I wanna get information about requesting a bill,INVOICES,get_invoice
"the game was postponed, how can I get a reimbursement?",REFUNDS,get_refund
how to check the delivery options,DELIVERY,delivery_options
where to see the status of my refund,REFUNDS,track_refund
"you're not helping, what do I have to do to contact a human agent?",CONTACT,contact_human_agent
help me modify the information on my profile,ACCOUNT,edit_account
ask alexa how to notify problems making a payment,PAYMENT,payment_issue
"i got an error when i attempted to oay, but my card was charged anyway, what do i have to do to inform of it?",PAYMENT,payment_issue
"ask alexa how to view my bill, please",INVOICES,check_invoices
"I have a problem making a payment with card, can you report it?",PAYMENT,payment_issue
where do i notify payment issues?,PAYMENT,payment_issue
"i got an reror mesage when i attempted to pay, but i was charged anyway and i want to notify it",PAYMENT,payment_issue
"i wanna check my invoices, could u help me?",INVOICES,check_invoices
"I need information, what should I do to talk to Customer Service?",CONTACT,contact_customer_service
I can' remember my fucking password and I would like to reset it,ACCOUNT,recover_password
"I got an error when I attempted to pay, but my card was charged anyway, how do I inform of it?",PAYMENT,payment_issue
"an error pops when I attempt to pay, what can I do?",PAYMENT,payment_issue
I can't understand you,CONTACT,contact_human_agent
I want to know where I can modify my order,ORDER,change_order
can you tell me the mail to contact Customer Support?,CONTACT,contact_customer_service
"ive got no user account, how can i create one ?",ACCOUNT,create_account
"I am discontent with the service and I want to submit a consumer complaint, please",FEEDBACK,complaint
"ask Alexa if i can see some fucking bills, please",INVOICES,get_invoice
i want to obtain a refund,REFUNDS,get_refund
"I can't find my bill, can you view it?",INVOICES,check_invoices
"I haven't got an online account, what should I do to create one?",ACCOUNT,create_account
"i am happy with the service, help me submit a comment",FEEDBACK,review
can u ask alerxa if my fucking orders are on their way?,ORDER,track_order
"I've got no profile, how do I create one?",ACCOUNT,create_account
I want to know if I can register several profiles with a single email address,ACCOUNT,create_account
i wanna see a bil,INVOICES,get_invoice
what information can you terll me about obtaining  a bill?,INVOICES,get_invoice
"I got an error when I tried to make a payment, but I was charged anyway, can you report it?",PAYMENT,payment_issue
"could u ask alexa to cancel my profile, please?",ACCOUNT,delete_account
ask alexa where i can track my order,ORDER,track_order
"I haven't got an account, how do I register?",ACCOUNT,create_account
"i want to download a bill, can you tell me where to do it?",INVOICES,get_invoice
"someone stole my password, can u reset it?",ACCOUNT,recover_password
"the payment failed, can you help me?",PAYMENT,payment_issue
"I want a reimbursement, how can I obtain one?",REFUNDS,get_refund
can you tell me if I can create several accounts with the same email address?,ACCOUNT,create_account
"i wanna see the status of my reimbursement, what can i do?",REFUNDS,track_refund
where to inform of an issue making a payment,PAYMENT,payment_issue
"I have an issue when trying to pay for my order, help me report it",PAYMENT,payment_issue
"i got an error message when i tried to make a payment, but i was charged anyway, what should i do to notify it?",PAYMENT,payment_issue
"I want to  check your money back pplicy, what do I have to do?",REFUNDS,check_refund_policy
"youre not helping, what should i do to speak with someone?",CONTACT,contact_human_agent
I want to get information about obtaining an invoice,INVOICES,get_invoice
tell me if I can get a fucking bill,INVOICES,get_invoice
I need information about the mail address of the Customer Support,CONTACT,contact_customer_service
"I have an issue when trying to pay for my online order, can I inform of it?",PAYMENT,payment_issue
how to change to another rpofile,ACCOUNT,switch_account
how can i make a complaint for a service?,FEEDBACK,complaint
"I want a user account, I need help opening one",ACCOUNT,create_account
"I don't understand you, how do I speak with someone?",CONTACT,contact_human_agent
"i dont want my online account, how can i remove it?",ACCOUNT,delete_account
"I'm discontent with the service, lodge a consumer complaint",FEEDBACK,complaint
"i have no shipping address, how do i set one up?",SHIPPING,set_up_shipping_address
"my online account was hacked, and I need help getting it back",ACCOUNT,recover_password
"ask alexa how i can recover my account password, please",ACCOUNT,recover_password
"someone stole my password, what should I do to retrieve it?",ACCOUNT,recover_password
"youre not helping, what should i do to contact a human?",CONTACT,contact_human_agent
"I got an error message when I tried to pay, but I was charged anyway, can you report it?",PAYMENT,payment_issue
"I got an error message when I attempted to make a payment, but I was charged anyway, inform of it",PAYMENT,payment_issue
"the game was cancelled, how do i get a refund?",REFUNDS,get_refund
"I can't remember my account password, how do I recover it?",ACCOUNT,recover_password
"I lost my password, what should I do to recover it?",ACCOUNT,recover_password
where do I leave a comment?,FEEDBACK,review
can you tell me if i can create more than one user account with a single email?,ACCOUNT,create_account
"I have no user account, how can I create one?",ACCOUNT,create_account
how can I see your money back policy ?,REFUNDS,check_refund_policy
can  I have more than one profile?,ACCOUNT,create_account
ask alexa how i can inform of fucking payment problems,PAYMENT,payment_issue
"I have a problem when trying to pay for my online order, what do I have to do to notify it?",PAYMENT,payment_issue
"I lost my invoice, what should I do to check it?",INVOICES,check_invoices
"can u ask alexa how to inform of fucking problems paying, please?",PAYMENT,payment_issue
ask alexa where i can view the status of my reimbursement,REFUNDS,track_refund
"the show was postponed, how can i request a refund?",REFUNDS,get_refund
"I wanna download some bills, can you show me some information?",INVOICES,get_invoice
"an error pops when I attempt to pay, what do I have to do?",PAYMENT,payment_issue
"could you tell me if i can register more than one online account with a single email address, please?",ACCOUNT,create_account
tell me how toi see a bill,INVOICES,get_invoice
how an I solve an issue with my payment?,PAYMENT,payment_issue
ask alexa how I can request a bill,INVOICES,get_invoice
"could you ask alexa how I could know where my fucking packages are, please?",ORDER,track_order
"i cant understand you, can i speak with someone, please?",CONTACT,contact_human_agent
"I want to check your money back policy, what should I do?",REFUNDS,check_refund_policy
can you tell me the number of Customer Service?,CONTACT,contact_customer_service
"i'd like to receive the newsletter, can you tell me how I can do it, please?",NEWSLETTER,newsletter_subscription
i cant understand you and i want to talk to a uhman,CONTACT,contact_human_agent
where can I view your reimbursement policy?,REFUNDS,check_refund_policy
"i wanna submit a review, what can i do?",FEEDBACK,review
"I changed my mind, I need help closing my profile",ACCOUNT,delete_account
tell me how to obtain a bill,INVOICES,get_invoice
"I want to cancel my account, where can I do it?",ACCOUNT,delete_account
"the game was cancelled, what do I have to do to request a refund?",REFUNDS,get_refund
"I need an online acount, can I create one?",ACCOUNT,create_account
"I want to get a bill, can you tell me how to do it?",INVOICES,get_invoice
can you tell me if I can change my order?,ORDER,change_order
"I need information, help me call Customer Service",CONTACT,contact_customer_service
"I wanna know where to modify my purchase, please",ORDER,change_order
"I want information, can you contact Client Service?",CONTACT,contact_customer_service
I wantinformation about the  ticket delivery options,DELIVERY,delivery_options
"i lost my invoices, can u show them, please?",INVOICES,check_invoices
tell me about subscribing to the newsletter,NEWSLETTER,newsletter_subscription
"I want information, what can I do to talk to Customer Service?",CONTACT,contact_customer_service
"I don't like the service, can I make a consumer complaint?",FEEDBACK,complaint
i dont like the service and i wanna submit a consumer complaint,FEEDBACK,complaint
can u ask alexa how to view the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
how to check your refund policy,REFUNDS,check_refund_policy
"I have an issue making a payment, how can I inform of it?",PAYMENT,payment_issue
I need help obtaining some invoices,INVOICES,get_invoice
"please, could you tell me where I can check my delivery?",ORDER,track_order
"I changed my mind, can I delete my user account?",ACCOUNT,delete_account
how to reset my account password,ACCOUNT,recover_password
"I got an error message when I attempted to make a payment, but my card was charged anyway, how do I notify it?",PAYMENT,payment_issue
"I want information, what can I do to contact Customer Support?",CONTACT,contact_customer_service
"i have a problem paying, help me inform of it",PAYMENT,payment_issue
"I purchased something, what can I do to change my order?",ORDER,change_order
ask alexa how to edit the information on my profile,ACCOUNT,edit_account
can you tell me if I can register several accounts with the same email address?,ACCOUNT,create_account
"can you tell me the email to contact customer support, please?",CONTACT,contact_customer_service
"I do not have an account, help me register",ACCOUNT,create_account
ask alxea if i can inform of an isue with my payment,PAYMENT,payment_issue
I didn't receive my bills and I want to see them,INVOICES,check_invoices
"I bought something, what should I do to change my order?",ORDER,change_order
tell me if I can create several user accounts with the same email address,ACCOUNT,create_account
"i want to use my other user account, how can i switch them?",ACCOUNT,switch_account
can u ask Alexa if i can download some bills?,INVOICES,get_invoice
i wanna know what the hours of customer setvice are,CONTACT,contact_customer_service
"the fucking show was cancelled and i wanna get a refund, please",REFUNDS,get_refund
where can i receive a refund?,REFUNDS,get_refund
ask Alexa if theres a newsletter i could subscribe to,NEWSLETTER,newsletter_subscription
"i didn't reecive my invoices, what can i do to check them?",INVOICES,check_invoices
"could youobtain a fucking bill, please?",INVOICES,get_invoice
"I don't want my online account, what can I do to cancel it?",ACCOUNT,delete_account
"i made a miustake, how can i modify my purchasse?",ORDER,change_order
"the show was cancelled, how do I get a refund?",REFUNDS,get_refund
"can u ask alexa to notify problems making a payment, please?",PAYMENT,payment_issue
"I got an error message when I attempted to pay, but my card was charged anyway, I need help notifying it",PAYMENT,payment_issue
"I want to recover my account password, can you help me?",ACCOUNT,recover_password
tell me how to check my delivery,ORDER,track_order
"I don't understand you, can you contact fucking someone?",CONTACT,contact_human_agent
I had a issue creating a profile,ACCOUNT,registration_problems
"I'm discontent with the service and I would like to file a consumer complaint, please",FEEDBACK,complaint
I want to know how I can obtain a bill,INVOICES,get_invoice
how to contact Customer Support,CONTACT,contact_customer_service
"I want to download a bill, tell me how I can do it",INVOICES,get_invoice
"I have a question, talk to Client Service",CONTACT,contact_customer_service
"I'm not happy with the service, what can I do to submit a consumer complaint?",FEEDBACK,complaint
"I got an error when I attempted to pay, but I was charged anyway, report it",PAYMENT,payment_issue
how do I see some invoices?,INVOICES,get_invoice
"ask Alexa to speak with a human agent, please",CONTACT,contact_human_agent
can you give me information about the options for delivery?,DELIVERY,delivery_options
my card was declined,PAYMENT,payment_issue
the event was postponed and I want to obtain a refund,REFUNDS,get_refund
ask alexa to leave a conment,FEEDBACK,review
"i wanna see the optyions for delivery, what should i do?",DELIVERY,delivery_options
"I want to view the delivery options, what do I have to do?",DELIVERY,delivery_options
"I got an error when I tried to pay, but I was charged anyway, what can I do to inform of it?",PAYMENT,payment_issue
show me the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
"I have a problem when trying to pay for my order, can you inform of it, please?",PAYMENT,payment_issue
"I want to lodge an complaint, can you help me?",FEEDBACK,complaint
"I got an error message when I attempted to pay, but my card was charged anyway, what should I do to notify it?",PAYMENT,payment_issue
"I have an issue paying for my online order and I want to notify it, please",PAYMENT,payment_issue
help me cancel an order,ORDER,cancel_order
"i dont understand you, how do i contact a human?",CONTACT,contact_human_agent
"I've got no user account, what do I have to do to create one?",ACCOUNT,create_account
"I have no shipping address, what should I do to set one up?",SHIPPING,set_up_shipping_address
"could u ask alexa where to cancel my account, please?",ACCOUNT,delete_account
"I ordered a product, what should I do to modify my order?",ORDER,change_order
"I want to cancel a purchase, what do I have to do?",ORDER,cancel_order
"you're not helping, speak with someone",CONTACT,contact_human_agent
where to make an order,ORDER,place_order
could u ask alexa how to view the status of my purchase?,ORDER,track_order
"ive got no online account, can u help me?",ACCOUNT,create_account
u are not helping and i want to speak with a human,CONTACT,contact_human_agent
"im discontent with the service, what should i do to file a complaint?",FEEDBACK,complaint
how can I know wherr my hsipments are?,ORDER,track_order
canyou find information about the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
"please, could you ask Alexa if I could remove my account?",ACCOUNT,delete_account
can I modify the information on my profile?,ACCOUNT,edit_account
"i have an issue making a payment with card, what should i do?",PAYMENT,payment_issue
"please, could u ask alexa to create a profile?",ACCOUNT,create_account
what can you tell me about downloading some invoices?,INVOICES,get_invoice
"i have a question, what should i do to contact customer support?",CONTACT,contact_customer_service
what are the hours of Customer Support?,CONTACT,contact_customer_service
"my profile's been hacked, what should i do to get it back?",ACCOUNT,recover_password
"please, could u ask alexa where i can inform of a problem paying?",PAYMENT,payment_issue
"u are not helping, talk to someone",CONTACT,contact_human_agent
how to leave a comment for a service,FEEDBACK,review
I need information about receiving the newsletter,NEWSLETTER,newsletter_subscription
i want to know if i can make an payment with credot card,PAYMENT,check_payment_methods
can you tell me if I can make a payment with Master Card?,PAYMENT,check_payment_methods
i want to know if i can request a bill,INVOICES,get_invoice
"i can't find my bill, what do i have to do to see it?",INVOICES,check_invoices
where to view the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
"i wanna inform of a problem with my payment, can u help  me?",PAYMENT,payment_issue
ask alexa when my tickets will arrive,DELIVERY,delivery_period
"my online account was hacked, can you help me?",ACCOUNT,recover_password
"I lost my password, how do I reset it?",ACCOUNT,recover_password
"I bought something, what should I do to modify my order?",ORDER,change_order
"I want to reset my password, how can I do it?",ACCOUNT,recover_password
"I haven't got an online account, how do I open one?",ACCOUNT,create_account
I want information about the mail of the Customer Service,CONTACT,contact_customer_service
I want to create a user account,ACCOUNT,create_account
help me update my profile,ACCOUNT,edit_account
can you provide information about my bill?,INVOICES,check_invoices
tell me about getting an invoice,INVOICES,get_invoice
how to write an opinion for a service,FEEDBACK,review
where do  I inform of a problem making a payment?,PAYMENT,payment_issue
my user account's been hacked,ACCOUNT,recover_password
how to request some invoices,INVOICES,get_invoice
"an error pops when I attempt to make a payment, what can I do?",PAYMENT,payment_issue
"please, can you ask Alexa how I can report problems making a payment?",PAYMENT,payment_issue
"I didn't receive my invoices, can you show them?",INVOICES,check_invoices
I need help filing a complaint,FEEDBACK,complaint
"I have an issue when trying to pay for my online order, I need help reporting it",PAYMENT,payment_issue
where can I remove my account?,ACCOUNT,delete_account
can u ask alexa if i can otain a reimbursement?,REFUNDS,get_refund
can u ask alexa how i can leave an opinion?,FEEDBACK,review
"I'm not happy with the service, how can I submit a consumer complaint?",FEEDBACK,complaint
"I want to check my packages, can you tell me how I can do it?",ORDER,track_order
"I'm not happy with the service, what can I do to make a consumer complaint?",FEEDBACK,complaint
"I have no online account, help me register, please",ACCOUNT,create_account
i changed my mind and i want to cancel my online account,ACCOUNT,delete_account
"i want to check my invopice, what can i do?",INVOICES,check_invoices
I purchased an item and I want to change my order,ORDER,change_order
I want to know if there is a free number to contact Client Service,CONTACT,contact_customer_service
"I can't remember my password, help me recover it",ACCOUNT,recover_password
I want to know where I can track my shipments,ORDER,track_order
"please, ask alexa if i can file a complaint",FEEDBACK,complaint
"I want to solve an issue with my payment, can you help me?",PAYMENT,payment_issue
"i wana lodge a fucking opinion, whta should i do?",FEEDBACK,review
ask alexa to notify problems paying,PAYMENT,payment_issue
"my profile's been hacked, what should I do?",ACCOUNT,recover_password
tell me how I can know where my order is,ORDER,track_order
"i have no fucking user account , please",ACCOUNT,create_account
"I want to use my other online account, what should I do to change them?",ACCOUNT,switch_account
"I have an issue paying with card, how do I inform of it?",PAYMENT,payment_issue
"I want to register, what should I do?",ACCOUNT,create_account
where do I view the ticket delivery options?,DELIVERY,delivery_options
"I get an error message when I attempt to make a payment for my online order, what can I do?",PAYMENT,payment_issue
